score,AUC,FPR1,CutoffFPR1,FPR5,CutoffFPR5
pInt,0.855748673269335,0.00726744186046512,0.999999741,0.0494186046511628,0.999981731
pW,0.403218378177393,0.00872093023255814,0.088852079,0.0494186046511628,0.001066519
pNI,0.142456648864251,0.00872093023255814,0.244507213,0.0494186046511628,0.21322712
