pearson_FPR,pearson_TPR,pearson_cutoff,spearman_FPR,spearman_TPR,spearman_cutoff
0,0,Inf,0,0,Inf
0,0.000148104265402844,0.999677224652263,0,0.000148104265402844,1
0,0.000296208530805687,0.999627637389137,0,0.000296208530805687,0.99983979493752
0,0.000444312796208531,0.999489690156736,0,0.000444312796208531,0.998399056285811
0,0.000592417061611374,0.999346272122436,0,0.000592417061611374,0.988067896306973
0,0.000740521327014218,0.999338040577162,0,0.000740521327014218,0.986675700090334
0,0.000888625592417062,0.99924981770551,0,0.000888625592417062,0.984439927732611
0,0.00103672985781991,0.999162898737613,0,0.00103672985781991,0.983785004516712
0,0.00118483412322275,0.999152673725427,0,0.00118483412322275,0.981227310467934
0,0.00133293838862559,0.999074169114096,0,0.00133293838862559,0.980307136404697
0,0.00148104265402844,0.999063810891037,0,0.00148104265402844,0.98003613369467
0,0.00162914691943128,0.99900637708705,0,0.00162914691943128,0.979494128274616
0,0.00177725118483412,0.998958189470602,0,0.00177725118483412,0.979330280787293
0,0.00192535545023697,0.998926834402396,0,0.00192535545023697,0.97919401273724
0,0.00207345971563981,0.998906805944659,0,0.00207345971563981,0.978295975812677
0,0.00222156398104265,0.99890552939872,0,0.00222156398104265,0.977584553531604
0,0.0023696682464455,0.998882343575325,0,0.0023696682464455,0.97752935862692
0,0.00251777251184834,0.998837213665114,0,0.00251777251184834,0.976287418692263
0,0.00266587677725119,0.998835807196143,0,0.00266587677725119,0.976106594399277
0,0.00281398104265403,0.998821033614081,0,0.00281398104265403,0.975767841011743
0,0.00296208530805687,0.99881831785022,0,0.00296208530805687,0.975700090334237
0,0.00311018957345972,0.998801556483223,0,0.00311018957345972,0.97563233965673
0,0.00325829383886256,0.998783099569006,0,0.00325829383886256,0.975359947351105
0,0.0034063981042654,0.998782674611608,0,0.0034063981042654,0.975293586269196
0,0.00355450236966825,0.998725660591315,0,0.00355450236966825,0.974887082204155
0,0.00370260663507109,0.998664801115067,0,0.00370260663507109,0.974345076784101
0,0.00385071090047393,0.998639907343216,0,0.00385071090047393,0.973893405600723
0,0.00399881516587678,0.998584125308368,0,0.00399881516587678,0.973622402890696
0,0.00414691943127962,0.998574158630965,0,0.00414691943127962,0.973390771191955
0,0.00429502369668246,0.998573901759699,0,0.00429502369668246,0.9733288166215
0,0.00444312796208531,0.998561763593964,0,0.00444312796208531,0.973170731707317
0,0.00459123222748815,0.998437460437544,0,0.00459123222748815,0.971768958694261
0,0.004739336492891,0.998381494507173,0,0.004739336492891,0.971454381210479
0,0.00488744075829384,0.998338844526839,0,0.00488744075829384,0.971296296296296
0,0.00503554502369668,0.998276047825073,0,0.00503554502369668,0.97085000998872
0,0.00518364928909953,0.998252815486182,0,0.00518364928909953,0.970099367660343
0,0.00533175355450237,0.998213051968703,0,0.00533175355450237,0.969625112917796
0,0.00547985781990521,0.998195861990577,0,0.00547985781990521,0.9693315266486
0,0.00562796208530806,0.998189863247794,0,0.00562796208530806,0.96890243902439
0,0.0057760663507109,0.998186436246202,0,0.0057760663507109,0.968857271906053
0,0.00592417061611374,0.998185531921658,0,0.00592417061611374,0.968644663188538
0,0.00607227488151659,0.998109741527591,0,0.00607227488151659,0.968377192750262
0,0.00622037914691943,0.99807931890664,0,0.00622037914691943,0.968186511413461
0,0.00636848341232227,0.998074686478402,0,0.00636848341232227,0.967707229135276
0,0.00651658767772512,0.998043089388499,0,0.00651658767772512,0.966679344904818
0,0.00666469194312796,0.998002924851121,0,0.00666469194312796,0.966576332429991
0,0.00681279620853081,0.997923314921432,0,0.00681279620853081,0.966355952792913
0,0.00696090047393365,0.99791159831526,0,0.00696090047393365,0.966350496838302
0,0.00710900473933649,0.997778357024292,0,0.00710900473933649,0.966208145025477
0,0.00725710900473934,0.997735391747134,0,0.00725710900473934,0.96616982836495
0,0.00740521327014218,0.997675834916167,0,0.00740521327014218,0.96596657633243
0,0.00755331753554502,0.997628660420594,0,0.00755331753554502,0.965785907859079
0,0.00770142180094787,0.997587550223718,0,0.00770142180094787,0.965350978735907
0,0.00784952606635071,0.997550996807262,0,0.00784952606635071,0.965311653116531
0,0.00799763033175355,0.997519421441356,0,0.00799763033175355,0.964886677453767
0,0.0081457345971564,0.99745602936192,0,0.0081457345971564,0.964854906407424
0,0.00829383886255924,0.997440520936808,0,0.00829383886255924,0.963911472448058
0,0.00844194312796209,0.997431243457467,0,0.00844194312796209,0.962746317383509
0,0.00859004739336493,0.997400600390325,0,0.00859004739336493,0.96271244013203
0,0.00873815165876777,0.997345479068384,0,0.00873815165876777,0.962172538392051
0,0.00888625592417062,0.997332906911084,0,0.00888625592417062,0.962031176794786
0,0.00903436018957346,0.997327761879675,0,0.00903436018957346,0.961820339176398
0,0.0091824644549763,0.997244278330482,0,0.00933056872037915,0.961698283649503
0,0.00933056872037915,0.997238280477461,0,0.00947867298578199,0.960673936500573
0,0.00947867298578199,0.997229632778627,0,0.00962677725118483,0.960140018066847
0,0.00962677725118483,0.997214640628303,0,0.00977488151658768,0.960127249837055
0,0.00977488151658768,0.997148780827925,0,0.00992298578199052,0.958105510374936
0,0.00992298578199052,0.997110407733342,0,0.0100710900473934,0.957788128231315
0,0.0100710900473934,0.997089234526409,0,0.0102191943127962,0.957687314495879
0,0.0102191943127962,0.997084368695251,0,0.0103672985781991,0.95752922065564
0,0.0103672985781991,0.997015738105327,0,0.0105154028436019,0.956874398373775
0,0.0105154028436019,0.997011832973986,0,0.0106635071090047,0.956634632213695
0,0.0106635071090047,0.99700570469505,0,0.0108116113744076,0.955820662959356
